ticker,doc_url,doc_title,doc_name
FPT,https://static2.vietstock.vn/data/HOSE/2024/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2024_Hopnhat.pdf,BCTC Hợp nhất quý 1 năm 2024 ,Báo cáo tài chính Hợp nhất quý 1 năm 2024 
FPT,https://static2.vietstock.vn/data/HOSE/2024/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2024_Congtyme.pdf,BCTC Công ty mẹ quý 1 năm 2024 ,Báo cáo tài chính Công ty mẹ quý 1 năm 2024 
FPT,http://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/NAM/FPT_Baocaotaichinh_2023_Kiemtoan_Hopnhat.pdf,BCTC Hợp nhất Kiểm toán năm 2023 ,Báo cáo tài chính Hợp nhất Kiểm toán năm 2023 
FPT,http://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/NAM/FPT_Baocaotaichinh_2023_Kiemtoan_Congtyme.pdf,BCTC Công ty mẹ Kiểm toán năm 2023 ,Báo cáo tài chính Công ty mẹ Kiểm toán năm 2023 
FPT,https://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2023_Hopnhat.pdf,BCTC Hợp nhất quý 4 năm 2023 ,Báo cáo tài chính Hợp nhất quý 4 năm 2023 
FPT,http://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2023_Congtyme.pdf,BCTC Công ty mẹ quý 4 năm 2023 ,Báo cáo tài chính Công ty mẹ quý 4 năm 2023 
FPT,https://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2023_Hopnhat.pdf,BCTC Hợp nhất quý 3 năm 2023 ,Báo cáo tài chính Hợp nhất quý 3 năm 2023 
FPT,http://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2023_Congtyme.pdf,BCTC Công ty mẹ quý 3 năm 2023 ,Báo cáo tài chính Công ty mẹ quý 3 năm 2023 
FPT,http://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2023_Soatxet_Hopnhat.pdf,BCTC Hợp nhất Soát xét 6 tháng đầu năm 2023 ,Báo cáo tài chính Hợp nhất Soát xét 6 tháng đầu năm 2023 
FPT,http://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2023_Soatxet_Congtyme.pdf,BCTC Công ty mẹ Soát xét 6 tháng đầu năm 2023 ,Báo cáo tài chính Công ty mẹ Soát xét 6 tháng đầu năm 2023 
FPT,https://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 2/FPT_Baocaotaichinh_Q2_2023_Hopnhat.pdf,BCTC Hợp nhất quý 2 năm 2023 ,Báo cáo tài chính Hợp nhất quý 2 năm 2023 
FPT,http://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 2/FPT_Baocaotaichinh_Q2_2023_Congtyme.pdf,BCTC Công ty mẹ quý 2 năm 2023 ,Báo cáo tài chính Công ty mẹ quý 2 năm 2023 
FPT,http://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2023_Congtyme.pdf,BCTC Công ty mẹ quý 1 năm 2023 ,Báo cáo tài chính Công ty mẹ quý 1 năm 2023 
FPT,https://static2.vietstock.vn/data/HOSE/2023/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2023_Hopnhat.pdf,BCTC Hợp nhất quý 1 năm 2023 ,Báo cáo tài chính Hợp nhất quý 1 năm 2023 
FPT,http://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/NAM/FPT_Baocaotaichinh_2022_Kiemtoan_Hopnhat.pdf,BCTC Hợp nhất Kiểm toán năm 2022 ,Báo cáo tài chính Hợp nhất Kiểm toán năm 2022 
FPT,http://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/NAM/FPT_Baocaotaichinh_2022_Kiemtoan_Congtyme.pdf,BCTC Công ty mẹ Kiểm toán năm 2022 ,Báo cáo tài chính Công ty mẹ Kiểm toán năm 2022 
FPT,http://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2022_Congtyme.pdf,BCTC Công ty mẹ quý 4 năm 2022 ,Báo cáo tài chính Công ty mẹ quý 4 năm 2022 
FPT,https://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2022_Hopnhat.pdf,BCTC Hợp nhất quý 4 năm 2022 ,Báo cáo tài chính Hợp nhất quý 4 năm 2022 
FPT,https://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2022_Hopnhat.pdf,BCTC Hợp nhất quý 3 năm 2022 ,Báo cáo tài chính Hợp nhất quý 3 năm 2022 
FPT,http://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2022_Congtyme.pdf,BCTC Công ty mẹ quý 3 năm 2022 ,Báo cáo tài chính Công ty mẹ quý 3 năm 2022 
FPT,http://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2022_Soatxet_Congtyme.pdf,BCTC Công ty mẹ Soát xét 6 tháng đầu năm 2022 ,Báo cáo tài chính Công ty mẹ Soát xét 6 tháng đầu năm 2022 
FPT,http://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2022_Soatxet_Hopnhat.pdf,BCTC Hợp nhất Soát xét 6 tháng đầu năm 2022 ,Báo cáo tài chính Hợp nhất Soát xét 6 tháng đầu năm 2022 
FPT,https://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 2/FPT_Baocaotaichinh_Q2_2022_Hopnhat.pdf,BCTC Hợp nhất quý 2 năm 2022 ,Báo cáo tài chính Hợp nhất quý 2 năm 2022 
FPT,http://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 2/FPT_Baocaotaichinh_Q2_2022_Congtyme.pdf,BCTC Công ty mẹ quý 2 năm 2022 ,Báo cáo tài chính Công ty mẹ quý 2 năm 2022 
FPT,http://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2022_Congtyme.pdf,BCTC Công ty mẹ quý 1 năm 2022 ,Báo cáo tài chính Công ty mẹ quý 1 năm 2022 
FPT,https://static2.vietstock.vn/data/HOSE/2022/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2022_Hopnhat.pdf,BCTC Hợp nhất quý 1 năm 2022 ,Báo cáo tài chính Hợp nhất quý 1 năm 2022 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/NAM/FPT_Baocaotaichinh_2021_Kiemtoan_Congtyme.pdf,BCTC Công ty mẹ Kiểm toán năm 2021 ,Báo cáo tài chính Công ty mẹ Kiểm toán năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/NAM/FPT_Baocaotaichinh_2021_Kiemtoan_Hopnhat.pdf,BCTC Hợp nhất Kiểm toán năm 2021 ,Báo cáo tài chính Hợp nhất Kiểm toán năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2021_Hopnhat.pdf,BCTC Hợp nhất quý 4 năm 2021 ,Báo cáo tài chính Hợp nhất quý 4 năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2021_Congtyme.pdf,BCTC Công ty mẹ quý 4 năm 2021 ,Báo cáo tài chính Công ty mẹ quý 4 năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2021_Congtyme.pdf,BCTC Công ty mẹ quý 3 năm 2021 ,Báo cáo tài chính Công ty mẹ quý 3 năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2021_Hopnhat.pdf,BCTC Hợp nhất quý 3 năm 2021 ,Báo cáo tài chính Hợp nhất quý 3 năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2021_Soatxet_Congtyme.pdf,BCTC Công ty mẹ Soát xét 6 tháng đầu năm 2021 ,Báo cáo tài chính Công ty mẹ Soát xét 6 tháng đầu năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2021_Soatxet_Hopnhat.pdf,BCTC Hợp nhất Soát xét 6 tháng đầu năm 2021 ,Báo cáo tài chính Hợp nhất Soát xét 6 tháng đầu năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 2/FPT_Baocaotaichinh_Q2_2021_Hopnhat.pdf,BCTC Hợp nhất quý 2 năm 2021 ,Báo cáo tài chính Hợp nhất quý 2 năm 2021 
